fuente,linea,flujo_Jy_kms,err_frac,dv_kms,theta_fwhm_arcsec,theta_estado,D_pc,X_iso,f_CO,n_H2_cm3,Tkin_fijo_K,notas
IRAS_06531,12CO_2-1,87.8595,0.10,51.10,5.489,BEAM_NOTEBOOK,1158.35,34,1.0e-3,1.0e5,20,
IRAS_06531,13CO_2-1,1.0361,0.15,51.10,5.489,BEAM_NOTEBOOK,1158.35,34,1.0e-3,1.0e5,20,
IRAS_06531,12CO_1-0,27.992,0.10,53.34,12.311,BEAM_NOTEBOOK,1158.35,34,1.0e-3,1.0e5,20,extra (solo con --tres-lineas)
IRAS_07145,12CO_2-1,38.4563,0.10,56.41,5.428,BEAM_NOTEBOOK,4144.8,34,1.0e-3,1.0e5,20,
IRAS_07145,13CO_2-1,1.4299,0.15,56.41,5.428,BEAM_NOTEBOOK,4144.8,34,1.0e-3,1.0e5,20,
IRAS_07145,12CO_1-0,10.7001,0.10,56.27,10.059,BEAM_NOTEBOOK,4144.8,34,1.0e-3,1.0e5,20,extra (solo con --tres-lineas)
IRAS_07180,12CO_2-1,11.3168,0.10,25.46,5.428,BEAM_NOTEBOOK,1168.22,13,1.0e-3,1.0e5,20,
IRAS_07180,13CO_2-1,2.2871,0.15,25.46,5.428,BEAM_NOTEBOOK,1168.22,13,1.0e-3,1.0e5,20,
IRAS_07180,12CO_1-0,1.0541,0.10,25.46,10.059,BEAM_NOTEBOOK,1168.22,13,1.0e-3,1.0e5,20,S/N~3.5; V_e adoptada del 2-1
IRAS_08500,12CO_2-1,158.2523,0.10,24.69,5.791,BEAM_NOTEBOOK,1526.72,13,2.0e-4,1.0e5,20,dv verificado en notebook (V_e=12.343+-0.149 del fit 2-1; independiente del 1-0)
IRAS_08500,13CO_2-1,35.8345,0.15,24.69,5.791,BEAM_NOTEBOOK,1526.72,13,2.0e-4,1.0e5,20,
IRAS_08500,12CO_1-0,44.9409,0.10,22.16,12.105,BEAM_NOTEBOOK,1526.72,13,2.0e-4,1.0e5,20,extra (solo con --tres-lineas)
V510_Pup,12CO_2-1,173.9363,0.10,356.1,5.518,BEAM_NOTEBOOK,436.26,12.13,4.0e-4,1.0e5,20,dv del fit del notebook (V_e=178.06+-8.17); ancho fisicamente llamativo (post-AGB) - discutir. X_iso provisional = ratio observado
V510_Pup,13CO_2-1,14.3408,0.15,356.1,5.518,BEAM_NOTEBOOK,436.26,12.13,4.0e-4,1.0e5,20,
V510_Pup,12CO_1-0,15.6387,0.10,203.1,12.439,BEAM_NOTEBOOK,436.26,12.13,4.0e-4,1.0e5,20,dv del fit del notebook (V_e=101.54+-7.67); S/N bajo
RV_Aqr,12CO_1-0,197.9703,0.10,25.59,12.216,BEAM_NOTEBOOK,635.24,13,2.0e-4,1.0e5,20,
RV_Aqr,13CO_1-0,7.3052,0.15,25.59,12.216,BEAM_NOTEBOOK,635.24,13,2.0e-4,1.0e5,20,
RZ_Sgr,12CO_1-0,70.572,0.10,12.84,11.003,BEAM_NOTEBOOK,423.8,26,6.0e-4,1.0e5,20,
RZ_Sgr,13CO_1-0,15.114,0.15,12.84,11.003,BEAM_NOTEBOOK,423.8,26,6.0e-4,1.0e5,20,
UU_For,12CO_1-0,63.8513,0.10,25.47,11.689,BEAM_NOTEBOOK,614.76,13,2.0e-4,1.0e5,20,
UU_For,13CO_1-0,3.392,0.15,25.47,11.689,BEAM_NOTEBOOK,614.76,13,2.0e-4,1.0e5,20,
R_Hor,12CO_1-0,70.4809,0.10,13.97,11.098,BEAM_NOTEBOOK,231.29,13,2.0e-4,1.0e5,20,
R_Hor,13CO_1-0,1.8016,0.15,13.97,11.098,BEAM_NOTEBOOK,231.29,13,2.0e-4,1.0e5,20,
