fuente,modo,Tkin_K,n_H2_cm3,N_12CO_2-1_cm2,tau_12CO_2-1,Tex_12CO_2-1_K,N_13CO_2-1_cm2,tau_13CO_2-1,Tex_13CO_2-1_K,ratio_N12_N13,X_iso_Ramstedt,M_gas_Msun,N_12CO_1-0_cm2,tau_12CO_1-0,Tex_12CO_1-0_K,N_13CO_1-0_cm2,tau_13CO_1-0,Tex_13CO_1-0_K
IRAS_06531,A,20.0,100000.0,3.5555210659375468e+16,0.09751474218777254,19.3268537578233,460262768702063.9,0.0011789649245182927,19.404480829572414,77.24980832067035,34.0,0.0008343578214657901,,,,,,
IRAS_07145,A,20.0,100000.0,1.543825460496476e+16,0.03844913112723023,19.308551843380044,649669585568356.5,0.0015074447739896035,19.40470740761289,23.763240496257445,34.0,0.004535947855001519,,,,,,
IRAS_07180,A,20.0,100000.0,4511079993751404.0,0.024906595140041697,19.304279101046113,1041215157579280.6,0.005352103903441497,19.405539773792277,4.332514716976658,13.0,0.00010529130256288618,,,,,,
IRAS_08500,A,20.0,100000.0,6.590920060832729e+16,0.370346666115365,19.404605970023756,1.488832844213691e+16,0.0787021012573966,19.42213281077983,4.426903991571763,13.0,0.014952884750907208,,,,,,
V510_Pup,A,20.0,100000.0,6.714817490988129e+16,0.026504835749731136,19.304784848928108,6307900928228515.0,0.002318484343326727,19.404915102814684,10.645090288179098,12.13,0.0005646917226660308,,,,,,
RV_Aqr,A,20.0,100000.0,,,,,,,27.266070489498308,13.0,0.030159599597743985,1.7255948148679536e+17,0.33496296664566716,20.23233662710889,6328725716206803.0,0.011305467702165473,20.545327918130894
RZ_Sgr,A,20.0,100000.0,,,,,,,4.453893558390711,26.0,0.0015545932063231885,7.389939235804883e+16,0.28595100746463165,20.269889333228093,1.6592087662002926e+16,0.05906310942837483,20.4811089050392
UU_For,A,20.0,100000.0,,,,,,,16.77582503677785,13.0,0.008043255283459044,5.3667690886197816e+16,0.10472489377052238,20.453985860884536,3199108882486642.0,0.005741820908845006,20.5532881325333
R_Hor,A,20.0,100000.0,,,,,,,37.82260409197547,13.0,0.0013637028604364882,7.131215753260688e+16,0.2536481300647035,20.297111466864255,1885437537806568.5,0.0061697102682816635,20.552672231472403
