Source,transition,type,D_pc,sigma_D_pc,fracD_pct,f_CO,R_12CO_13CO,X_Ramstedt,tau,tau_corr,I_CO_Jy_km_s,N_CO_cm2,M_H2_Msun,M_gas_Msun,sigma_Mgas_Msun,sigma_Mgas_pct,err_contrib_dist_pct,err_contrib_flux_pct,dominant_error
IRAS 06531,2-1,C,1158.35,131.09,11.3,1.0e-03,84.68,34,0.000,1.000,87.7380,3.363e+16,5.8012e-04,7.8896e-04,1.9522e-04,24.7,84,16,distancia
IRAS 07145,2-1,C,4144.8,1211.4,29.2,1.0e-03,26.71,34,0.520,1.283,38.1879,1.919e+16,4.1467e-03,5.6395e-03,3.3444e-03,59.3,97,3,distancia
IRAS 07180,2-1,M,1168.22,260.8,22.3,1.0e-03,4.95,13,2.718,2.910,11.3168,1.291e+16,2.2150e-04,3.0124e-04,1.3783e-04,45.8,95,5,distancia
IRAS 08500,2-1,M,1526.72,173.5,11.4,2.0e-04,4.42,13,3.177,3.315,158.2523,1.807e+17,3.0130e-02,4.0976e-02,1.0175e-02,24.8,84,16,distancia
R Hor,1-0,M,231.29,8.2,3.5,2.0e-04,39.12,13,0.000,1.000,70.4809,6.301e+16,8.8574e-04,1.2046e-03,1.4767e-04,12.3,33,67,flujo
RV Aqr,1-0,C,635.24,24.0,3.8,2.0e-04,27.1,20,0.000,1.000,197.9703,1.461e+17,1.8767e-02,2.5523e-02,3.1990e-03,12.5,36,64,flujo
RZ Sgr,1-0,S,423.8,9.9,2.3,6.0e-04,4.67,26,6.252,6.264,70.5720,4.020e+17,6.2169e-03,8.4550e-03,9.3323e-04,11.0,18,82,flujo
UU For,1-0,M,614.76,49.4,8.0,2.0e-04,18.82,13,0.000,1.000,63.8513,5.145e+16,5.6689e-03,7.7097e-03,1.4593e-03,18.9,72,28,distancia
V510 Pup,2-1,postAGB,436.26,69.1,15.8,4.0e-04,12.13,None,1.000,1.582,173.9363,1.044e+17,6.4516e-04,8.7742e-04,2.9147e-04,33.2,91,9,distancia
