Source,transition,type,D_pc,sigma_D_pc,f_CO,R_12CO_13CO,X_med,X_lo,X_hi,tau_med,tau_lo,tau_hi,T_ex_K,I_CO_Jy_km_s,M_gas_Msun,M_gas_lo_Msun,M_gas_hi_Msun,sigma_Mgas_stat_Msun
IRAS 06531,2-1,C,1158.35,131.09,1.0e-03,84.68,34,20,90,0.000,0.000,0.125,20,87.7380,5.9807e-04,5.9807e-04,6.3608e-04,1.4799e-04
IRAS 07145,2-1,C,4144.8,1211.4,1.0e-03,26.71,34,20,90,0.520,0.000,3.306,20,38.1879,4.2750e-03,3.3329e-03,1.1438e-02,2.5352e-03
IRAS 07180,2-1,M,1168.22,260.8,1.0e-03,4.95,13,6.5,26,2.718,0.689,5.848,20,11.3168,2.2836e-04,1.0859e-04,4.6021e-04,1.0448e-04
IRAS 08500,2-1,M,1526.72,173.5,2.0e-04,4.42,13,6.5,26,3.177,1.009,6.659,20,158.2523,3.1062e-02,1.4875e-02,6.2475e-02,7.7130e-03
R Hor,1-0,M,231.29,8.2,2.0e-04,39.12,13,6.5,26,0.000,0.000,0.000,20,70.4809,1.0017e-03,1.0017e-03,1.0017e-03,1.2279e-04
RV Aqr,1-0,C,635.24,24.0,2.0e-04,27.1,34,20,90,0.488,0.000,3.250,20,197.9703,2.6818e-02,2.1223e-02,7.1764e-02,3.3614e-03
RZ Sgr,1-0,S,423.8,9.9,6.0e-04,4.67,26,15,45,6.252,3.490,10.843,20,70.5720,7.0306e-03,4.0410e-03,1.2171e-02,7.7601e-04
UU For,1-0,M,614.76,49.4,2.0e-04,18.82,13,6.5,26,0.000,0.000,0.716,20,63.8513,6.4109e-03,6.4109e-03,8.9793e-03,1.2135e-03
V510 Pup,2-1,postAGB,436.26,69.1,4.0e-04,12.13,None,None,None,1.000,1.000,1.000,20,173.9363,6.6513e-04,6.6513e-04,6.6513e-04,2.2095e-04
