Source,Transition,D_pc,Tmb_peak_K,Ve_km_s,theta_arcsec,W,f_CO,Mdot_thin_Msun_yr,Mdot_thin_err_Msun_yr,Mdot_thick_Msun_yr,Mdot_thick_err_Msun_yr,notes
IRAS 06531-0216,CO(1-0),1158.35,0.338,26.67,12.311,0.757,1.0e-3,5.18e-7,1.24e-7,1.21e-6,2.7e-7,
IRAS 06531-0216,CO(2-1),1158.35,1.411,25.55,5.489,0.757,1.0e-3,6.28e-7,1.50e-7,1.54e-6,3.5e-7,
IRAS 07145-1428,CO(1-0),4144.8,0.179,28.13,10.060,7.652,1.0e-3,1.24e-6,6.2e-7,6.11e-6,3.60e-6,
IRAS 07145-1428,CO(2-1),4144.8,0.599,28.20,5.429,7.652,1.0e-3,1.87e-6,9.3e-7,9.99e-6,5.84e-6,
IRAS 07180-1314,CO(1-0),1168.22,0.049,12.73,10.060,0.528,1.0e-3,2.14e-8,9.6e-9,2.70e-8,1.36e-8,Ve adopted from CO(2-1) due to low S/N (~3.5)
IRAS 07180-1314,CO(2-1),1168.22,0.349,12.73,5.429,0.528,1.0e-3,6.06e-8,2.42e-8,9.40e-8,4.20e-8,
IRAS 08500-3254,CO(1-0),1526.72,1.262,11.08,12.105,1.067,2.0e-4,2.18e-6,5.7e-7,5.16e-6,1.47e-6,
IRAS 08500-3254,CO(2-1),1526.72,1.262,11.08,5.791,1.067,2.0e-4,9.78e-7,2.07e-7,1.97e-6,4.5e-7,
RV Aqr,CO(1-0),635.24,4.726,12.80,12.105,0.359,1.0e-3,2.77e-6,2.5e-7,4.47e-6,3.4e-7,
RZ Sgr,CO(1-0),423.80,4.811,6.42,11.003,0.191,6.0e-4,1.52e-7,9e-9,1.65e-7,8e-9,distance updated 730->423.80 pc (Gaia DR3)
UU For,CO(1-0),614.76,1.734,12.74,11.689,0.166,2.0e-4,1.53e-6,2.5e-7,1.42e-6,2.3e-7,
R Hor,CO(1-0),231.29,6.403,6.99,11.098,0.043,2.0e-4,3.09e-6,2.54e-6,2.01e-7,1.4e-8,thin unreliable (W~0.04 floor); use thick
V510 Pup,CO(1-0),436.26,0.052,101.54,12.439,0.043,4.0e-4,1.34e-5,4.98e-5,8.46e-7,3.02e-7,thin unreliable (W~0.04 floor); post-AGB
V510 Pup,CO(2-1),436.26,0.681,178.06,5.518,0.043,4.0e-4,1.27e-4,4.72e-4,1.13e-5,3.7e-6,thin unreliable (W~0.04 floor); post-AGB
