Source,Type,12CO(1-0) Jy·km/s,13CO(1-0) Jy·km/s,12CO(2-1) Jy·km/s,13CO(2-1) Jy·km/s,Ratio R12CO(2-1)/12CO(1-0),Ratio R12CO(2-1)/13CO(2-1),Ratio R12CO(1-0)/13CO(1-0)
IRAS_06531,C star,27.992,,87.8595,1.0361,3.1387,84.6838,
IRAS_07145,C star,10.7001,,38.4563,1.4299,3.594,26.7066,
IRAS_07180,OH/IR star,1.0541,,11.3168,2.2871,10.7362,4.9481,
IRAS_08500,Mira M,44.9409,,158.2523,35.8345,3.5213,4.4162,
RV_Aqr,C star,197.9703,7.3052,,,,,27.0999
RZ_Sgr,S star,70.572,15.114,,,,,4.6693
UU_For,Mira M,63.8513,3.392,,,,,18.8238
R_Hor,Mira M,70.4809,1.8016,,,,,39.121
V510_Pup,Post-AGB F5Ie,15.6387,,173.9363,14.3408,11.1222,12.1288,
