Source,Type,Transition,D_pc,T_mb_peak_K,V_exp_kms,theta_arcsec,D_theta,W,log_W_0.04,f_CO,s_J,Mdot_thin_Msunyr,Mdot_thick_Msunyr
IRAS_06531,C star,CO(1-0),1158.35,0.329,27.312,12.3108,14260.24,0.7572,1.2772,0.001,1.0,5.2966e-07,1.2395e-06
IRAS_07145,C star,CO(1-0),4144.8,0.182,28.618,10.0596,41695.15,7.6518,2.2817,0.001,1.0,1.2987e-06,6.4360e-06
IRAS_07180,OH/IR star,CO(1-0),1168.22,0.058,15.547,10.0596,11751.86,0.5282,1.1207,0.001,1.0,3.5849e-08,4.8088e-08
RV_Aqr,C star,CO(1-0),635.24,2.5315,14.92,12.1053,7689.75,0.3586,0.9526,0.001,1.0,4.3670e-07,8.2763e-07
RZ_Sgr,S star,CO(1-0),730.0,2.534,6.506,11.0025,8031.8,0.568,1.1523,0.0006,1.0,1.4594e-07,2.6530e-07
UU_For,Mira M,CO(1-0),614.76,1.175,13.391,11.6893,7186.13,0.1662,0.6186,0.0002,1.0,1.2092e-06,1.0614e-06
R_Hor,Mira M,CO(1-0),231.29,3.561,4.619,11.0979,2566.83,0.0432,0.0334,0.0002,1.0,8.8562e-07,4.8830e-08
IRAS_08500,Mira M,CO(1-0),1526.72,1.064,12.476,12.1053,18481.36,1.067,1.4261,0.0002,1.0,2.3533e-06,5.5180e-06
V510_Pup,Post-AGB F5Ie,CO(1-0),436.26,0.074,152.25,12.4394,5426.81,0.0431,0.0324,0.0004,1.0,3.8042e-05,2.7339e-06
